"","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30","PC_31","PC_32","PC_33","PC_34","PC_35","PC_36","PC_37","PC_38","PC_39","PC_40","PC_41","PC_42","PC_43","PC_44","PC_45","PC_46","PC_47","PC_48","PC_49","PC_50"
"VIM",-0.0974822919938076,-0.0495054644413935,-0.0201461966701845,-0.0132103597900821,0.0674297030459367,0.0101259024259236,0.0266909117855784,-0.0172888088850019,-0.0767726148690409,0.0304087091781498,-0.0374327394112061,0.0529247352452473,-0.0142800515894498,-0.0148261110404506,-0.0155368914138027,0.0242366388019016,0.0220317689912154,0.00359265808294039,-0.0300875140128135,-0.0148415391311547,-0.0146749334042622,0.0373400051186368,-0.0115339665843792,0.0229247198291975,0.00414651006416285,0.0027740057600906,0.0122640066080599,-0.0166239375294995,-0.0483144169364221,-0.0104250466475874,-0.0285092859281221,0.00197801417188422,-0.0217452116864791,0.00912873560889622,0.00224498717983273,0.00174954550100976,0.012335237185556,-0.00443535117489982,0.0202527424831446,0.0204857912525689,-0.0231582833191212,0.00338827688322822,-0.00607222372135406,0.000608179006241446,0.0123993904073314,0.00425709445963268,-0.0169092229178955,0.0105592240476875,-0.00851066284870088,-0.0244289944586631
"FOS",-0.00872427949207525,0.000800630357829496,0.0201742598164881,0.00542165250172017,0.0100680181625408,-0.00732240011050877,-0.0333667891214924,-0.0411608143100751,0.0625708902321295,0.170317693158649,-0.0421013524725054,-0.110704818462485,-0.0179428215344328,0.036410554561123,0.0533030722188865,0.0587937051718876,-0.061243136000192,-0.0636747237383843,-0.10468987718273,-0.0319959361053904,0.0538383553568837,0.0499388458192599,0.00708646028542819,-0.015428028232253,-0.0548295138134296,0.0317341999132248,0.0399857427808163,-0.0102281431030902,0.0467439575296852,-0.0997606950156372,-0.0288142479536273,0.01413092578867,0.0271200122715545,-0.00443860499956729,-0.0267237710890961,-0.0602973765619221,-0.000991385250933942,-0.00350477734359364,0.00905417278128597,0.00880366000575012,-0.00190844508979166,-0.0238590798289056,-0.0166463138309378,0.0148147913273755,-5.44114041027408e-05,0.0231829966422286,0.0173925705264247,0.0308391496888433,-0.00716447632078956,-0.0214470554076918
"LOXL4",-0.0445230541800063,-0.0137973417675898,0.14958646616331,-0.0385782957879212,-0.0329136689834849,-0.00214402500683403,0.0250768142162062,0.0103962069684132,-0.0213790138056634,0.000331066645260658,0.00263975700576208,0.017330556705485,0.00461071637263222,0.0117583375658991,-0.0150663626798089,-0.00694849898781344,-0.00121998690791219,-0.0151182935723805,0.00207194442895484,-0.00741804477255333,0.0269309433116552,0.000230583143824267,0.0405228633899094,0.0430553757172401,0.0133073078706052,0.037180591681101,0.036657938565351,0.00815244986699424,0.0118640311913091,0.0300045216915703,0.00894065713009899,0.0116989862326219,-0.0265593182499859,-0.0130717454944211,0.0136548342923948,-0.015330010283974,-0.0107395583150456,0.0113042003361062,-0.00201938602227834,0.00780751064075317,-0.000387038789808163,0.00363762847219955,0.00544138348859778,-0.0185516979599583,0.00826340427705753,-0.00957006961885864,-0.00577205738072402,0.00458858494113064,0.00739664217607403,0.00535641293533919
"CHI3L1",-0.0675429883110899,-0.00762947193345419,-0.0328308748165782,0.0853899842891133,0.0170836074711121,-0.0601607844590848,-0.0127375940889274,0.0245959108015619,0.0785749011630018,-0.0465372801911491,-0.00175723782587273,0.00881429136294105,-0.0214744316167248,0.0711534551497235,-0.0178799529336584,-0.0466866577819088,-0.00963152312070341,0.0162917048255496,0.00546958208922468,0.0295339663097038,0.0559337340195339,0.0187958760896067,-0.0142998531847211,-0.0102120690479339,-0.0391433515745115,0.00111966952282844,0.0209127700249982,0.060554686624512,0.0355442608547622,0.0374082017602018,-0.038405829285368,-0.0140178016293313,0.0263382321834161,-0.0417769544143946,-0.00256125021121166,0.0158879048744925,-0.0386360822348254,-0.00687583656585302,0.0302010271605559,0.00611770964684714,0.00968875499769869,0.0567591314304715,0.0112506177145214,-0.0314217177653188,-0.0371972931093322,-0.0385323184704693,0.0328853356459161,0.00861308608648521,-0.0310932177553936,-0.0198268526776106
"IL8",-0.0120196945751333,0.00115421276270374,-0.00295932830379117,0.0380096767261914,0.00740738105572937,-0.0304870429283241,0.00402301944806293,0.0104866721403186,0.0158533728280263,0.00262230681295001,-0.00763206365298049,-0.00872421394325297,-0.00472957786049311,0.0259054039613979,0.022784013663274,-0.0178111525055952,-0.0221697515586488,0.0199513636664369,-0.00711509528616693,-0.00126539480033463,0.0373886390323929,-0.00357149073822502,0.0291936060201345,0.0297092582999276,-0.0227199681457446,0.0249153542710566,-0.0243302203868113,-0.0321197897117334,-0.0390714911122853,6.67058424052658e-07,0.0159524342769665,-0.0405742264251543,0.0030529703994369,-0.0190623751139467,-0.0119297801085247,-0.000820104446250102,-0.00460749174079765,0.0398246516125309,-0.043380130716838,0.0827392887251403,0.00349798881572872,-0.0107564194291674,-0.0481586933859813,0.0715331286585108,-0.0223537450155055,0.00694860066258763,0.0247203026691983,-0.07745882443815,-0.0111269648202936,0.0298405220902706
"DKFZp434L192",-0.0148115367648569,0.0042251073429156,-0.0198568666888281,-0.010698616787235,-0.0261223121834359,0.0153015248919735,0.00782755471650454,0.00712970558482002,0.00690054728675826,-0.0145496601509401,-0.017104072256365,-0.00214955814148402,-0.016377369614131,-0.00837437816922708,0.0121054702218815,0.00677188549078062,0.00225033788381996,0.0142090663970307,0.00134858169386064,0.0523251493590887,-0.016723280097913,0.0130861019928248,-0.0240942719044934,-0.0194886177905449,0.0321235342691381,-0.128416949449386,0.141732488749208,-0.0660611506725429,0.0240529575345456,-0.0339793821713129,-0.0463813498770606,-0.080660978141768,-0.156798944796978,0.0722693862849788,-0.0119075792679506,-0.184652690181069,-0.0374531264768351,-0.0133291150875032,-0.120984440604173,0.135826352402178,-0.0680096480775796,-0.0242951891647953,0.0700829150197059,0.131549974777981,0.0447882549713812,0.0684666360603616,0.134391506483946,-0.0238366603028083,0.0776025065683949,0.0629849340193198
"SEC61G",-0.0561161290314635,-0.0334501487348838,-0.0695140441938752,-0.00334853459907801,-0.0133284137176751,-0.00327180526772473,-0.0179648921141112,0.0495224158128921,-0.0650569199521896,-0.00921237244903193,-0.0131457829057498,0.0553288998688302,0.0127668678293603,-0.0138367746596201,0.0130669022826131,-0.0571791203126604,-0.0206198821844397,0.0405625400270268,0.010849454582576,0.0476720841772389,-0.00922556735051892,-0.0432178791644313,-0.0134650359503347,0.100701362984523,-0.077398077537282,0.04052771884638,-0.0306061573437876,0.0325903891073829,-0.0652744167009709,0.0469576934689953,0.0382676077934286,-0.0265564825516067,0.056813540395416,-0.0262481455440047,0.0371395375786115,0.0646842700857331,-0.035615073749308,-0.0503377683991466,0.0613763517384873,-0.00148471556401869,0.0248938824553648,-0.0336816823432171,0.0119673286353382,-0.0153860114252401,-0.0489327266626818,-0.0113980019172389,-0.0203892400703345,0.0369640105415784,-0.0302042783632645,-0.056810200657909
"LTF",-0.0151543618593176,-0.0013048924031336,-0.00243131920738607,0.0301796711849256,0.00747146222431841,-0.0209066922708621,-0.0142974070514205,0.00219392041863827,0.051440132756238,-0.0233281444698554,0.00662832936323793,-0.000560733423991114,-0.0111533697330399,0.0399216055253734,0.0151194365915491,-0.0279255725423948,0.00188862006763268,0.0216037905721088,0.0138305033299447,0.00409874283458642,0.032097877719707,0.0543788318622536,0.0121630991954986,0.0235207868421246,-0.0497398326431242,0.0051536514754296,0.0114778556387767,-0.0221093440165854,-0.0419659005392135,0.0108072597780662,-0.0229940322825127,-0.0274470564909235,-0.0284684078034638,0.014065483571954,-0.0113558069978765,0.00193495400654658,0.000484758988912773,0.0229757279234921,0.0569689747283352,-0.011914463438187,-0.0383847604648394,0.0151661139431601,-0.0370965477154502,-0.0149050198160628,0.002787193156337,-0.017793160752829,-0.048142934729367,-0.0147844573183706,0.0718853027988196,0.0144364780284255
"MT2A",-0.0823173877607268,-0.0465853682123565,-0.0628589386760312,-0.00830311094532914,0.0284982224558431,-0.0214008129282316,0.00872358376121899,0.0428241135622073,0.0174896721019202,0.00613961487668505,0.0351579701038986,0.0315427666210854,0.014736708767238,0.0102732363695473,-0.0468731339999967,-0.0188906020376407,0.0125966811006638,0.0537020431428113,-0.0602067492164105,0.00770362351352264,0.0300312537283733,-0.0181504869529122,0.000668787558404052,-0.0114163548462017,0.0154769602359923,0.0199439096993633,-0.000834329858656519,-0.00731805856638362,0.000951750783707136,-0.0151780177091391,0.0579099850700461,-0.0101508964145706,0.0323252475693615,-0.0778477243813222,-0.0217287305047385,-0.0158655749813101,0.043807018986531,-0.0153220033124983,-0.0242419272397177,0.0655397442562285,-0.00292481754445994,-0.00742528296753357,0.0367335534228211,-0.0250626972255869,0.016732308058554,-0.00540020332540567,0.0363027131116137,0.0161554169066611,0.00767926226829816,0.0232449703279127
"CXCL10",-0.00611063642135151,-0.00337818568098213,-0.00468484953041976,-0.001302406552761,-0.00416358351914016,0.00210454074815861,-0.00542439678538458,0.011679098273118,0.0182831968188411,-0.00808231311868338,-0.0260869835501391,-0.0205602035263287,-0.00531169949529698,-0.00738649926758274,0.00517340593774377,-0.00794634605815584,-0.0163322441346247,0.000954060341868952,0.00152592436539012,-0.0126181689714547,-0.0166387225796244,-0.015434214858638,-0.00810439163517478,0.0216481001551353,0.0112252204833783,0.0121492350646835,-0.0059106515643267,-0.00816138188929788,-0.00717678246074435,0.00417026646545048,-0.00298446806817117,0.0126438304223388,-0.009857607986737,-0.00648792497733716,0.00746598965731674,-0.000808581827104239,0.0159315803389707,0.0205022456081411,-0.0159936124833379,0.0149867808625589,-0.00286490556061298,-0.0142300359622312,-0.0070097434933957,0.00688264064518087,0.00617154346967953,-0.00376902847323744,0.000316496454948657,-0.00571455830910361,-0.00709442983422483,0.00114129511551278
