"PC","Standard_Deviation","Variance_Explained","Cumulative"
"PC1",7.15841950563188,15.1397747062601,15.1397747062601
"PC2",5.91775703706126,10.3466410346325,25.4864157408926
"PC3",5.28619549109028,8.25603567198302,33.7424514128756
"PC4",4.21058912006496,5.23806458285286,38.9805159957284
"PC5",3.97954612224261,4.6789909568665,43.659506952595
"PC6",3.57761942535704,3.78158094399765,47.4410878965926
"PC7",3.42862523631467,3.47316291979029,50.9142508163829
"PC8",3.24947740104589,3.119695186243,54.0339460026259
"PC9",2.92924654234633,2.53511095982053,56.5690569624464
"PC10",2.78487865728904,2.29138293614397,58.8604398985904
"PC11",2.69923957485421,2.15262304976706,61.0130629483575
"PC12",2.57696254995843,1.96201053599566,62.9750734843531
"PC13",2.54835376554603,1.91868886502864,64.8937623493818
"PC14",2.47780099975861,1.81391932875659,66.7076816781384
"PC15",2.37703700107872,1.66938691450895,68.3770685926473
"PC16",2.33031194072161,1.60440217470052,69.9814707673478
"PC17",2.25832455406492,1.50680771063289,71.4882784779807
"PC18",2.22432084287356,1.46177316091224,72.950051638893
"PC19",2.14370980732481,1.35774155604937,74.3077931949423
"PC20",2.12426272192617,1.33321925286009,75.6410124478024
"PC21",2.06674828177623,1.26200272127322,76.9030151690756
"PC22",2.03022600887845,1.21779418286405,78.1208093519397
"PC23",2.00471539462692,1.18738230281558,79.3081916547553
"PC24",1.92039776010695,1.08960102320358,80.3977926779588
"PC25",1.90142288413383,1.06817535531536,81.4659680332742
"PC26",1.87951199196303,1.0436991335468,82.509667166821
"PC27",1.81994622710329,0.978593289958955,83.48826045678
"PC28",1.77208541760376,0.92780012033709,84.4160605771171
"PC29",1.76671581897567,0.922185981931523,85.3382465590486
"PC30",1.73550148082559,0.889887482873817,86.2281340419224
"PC31",1.71260934209727,0.866566185556947,87.0947002274793
"PC32",1.67468781925983,0.828615101284721,87.9233153287641
"PC33",1.65293762914449,0.807231412985623,88.7305467417497
"PC34",1.63951468652678,0.79417414407615,89.5247208858258
"PC35",1.60638680847379,0.762404373715705,90.2871252595415
"PC36",1.5696595252888,0.727940764749354,91.0150660242909
"PC37",1.56350811969806,0.722246428389137,91.73731245268
"PC38",1.54328409397231,0.703682711435478,92.4409951641155
"PC39",1.53730893656725,0.698244340829115,93.1392395049446
"PC40",1.51507411060322,0.678192331950885,93.8174318368955
"PC41",1.49940699977377,0.664238721213546,94.481670558109
"PC42",1.47363305354667,0.641599222879756,95.1232697809888
"PC43",1.4612322881415,0.630846417330529,95.7541161983193
"PC44",1.45194261905054,0.622850801382484,96.3769669997018
"PC45",1.44767828559164,0.619197567297779,96.9961645669996
"PC46",1.44174204399194,0.614129907956241,97.6102944749558
"PC47",1.43181625155974,0.605702959802746,98.2159974347586
"PC48",1.42432338220133,0.599380112156623,98.8153775469152
"PC49",1.41839360671844,0.594399795050164,99.4097773419654
"PC50",1.41340094825831,0.590222658034628,100
