"PC","Positive_Gene","Positive_Loading","Negative_Gene","Negative_Loading"
"PC1","STMN1",0.0854415949822833,"CLU",-0.105416019988147
"PC1","TMSB15A",0.0781622715532874,"VIM",-0.0974822919938076
"PC1","TAGLN3",0.0753494428554751,"LGALS3",-0.089979134625127
"PC1","MLLT11",0.0739280392323086,"SPARC",-0.0887722300740343
"PC1","LPPR1",0.0711385060719981,"ANXA1",-0.0878543629423613
"PC1","CD24",0.0701379525059524,"CD99",-0.0871530734432155
"PC1","TUBB",0.0651997148507346,"PMP22",-0.0856537362702113
"PC1","FXYD6",0.0651553182114559,"IFITM3",-0.0854186353610611
"PC1","TUBB3",0.0634002560600771,"S100A16",-0.0851576274433407
"PC1","STMN2",0.0631721127505306,"TIMP1",-0.0850575543179029
"PC1","PFN2",0.061241194443065,"C1R",-0.0839247247296704
"PC1","PDGFRA",0.059347489749068,"AQP4",-0.0830523249265317
"PC1","UBE2T",0.0582200798470044,"CST3",-0.0823255120558222
"PC1","NNAT",0.0572086482675761,"MT2A",-0.0823173877607268
"PC1","LHFPL3",0.0568614463929343,"HLA-C",-0.0810318021412654
"PC1","NKAIN4",0.0568132093026152,"HLA-B",-0.0787391578078503
"PC1","TMEFF2",0.0566752337158792,"SLC1A3",-0.0784357466443427
"PC1","TUBA1A",0.0564231885419116,"ZFP36",-0.0766492652235532
"PC1","ELAVL4",0.0560849662468243,"S100A10",-0.0764756715766455
"PC1","CNTN1",0.0549066326474353,"CD44",-0.0756988668401102
"PC1","TOP2A",0.0545538055720137,"METTL7B",-0.0735670224060792
"PC1","HMP19",0.0544241903098965,"ANXA2",-0.0732161632567571
"PC1","RBP1",0.0533385411628239,"SEPP1",-0.0731717320431112
"PC1","BIRC5",0.053113576524536,"HEPN1",-0.0723348501271737
"PC1","BEX1",0.0529270152345533,"MT3",-0.0719920643330504
"PC1","MLF1IP",0.0526990087285855,"C1S",-0.071563745005217
"PC1","MAD2L1",0.0518542700529695,"CD63",-0.0691738106431373
"PC1","PAK3",0.0515578572380342,"S100A11",-0.0686809052809442
"PC1","UBE2C",0.0504791923013073,"CHI3L1",-0.0675429883110899
"PC1","ZWINT",0.0502296113195793,"B2M",-0.0673360978712639
"PC2","HMP19",0.0507229150881972,"TOP2A",-0.130997225513544
"PC2","STMN2",0.0477275363831929,"PBK",-0.127676403361888
"PC2","DLX6-AS1",0.0464193961040996,"TPX2",-0.127158898752685
"PC2","DLX5",0.0427109664064952,"NUSAP1",-0.12678388454638
"PC2","CD24",0.0422304554343251,"UBE2C",-0.125386397083425
"PC2","ELAVL4",0.0391398714265463,"NUF2",-0.124323457770477
"PC2","LINC00599",0.0356583120084579,"FAM64A",-0.123476376330001
"PC2","LOC150568",0.0351751967187851,"TACC3",-0.122524082139414
"PC2","DLX6",0.0341341328857288,"BIRC5",-0.122409681923089
"PC2","TUBB3",0.0339051909568919,"KIF2C",-0.12235512905831
"PC2","MEG3",0.0334766418636946,"CDK1",-0.121964357328818
"PC2","DYNC1I1",0.0323663554888662,"AURKB",-0.120663652335353
"PC2","ST18",0.0317056384874793,"BUB1B",-0.118964781159074
"PC2","PAK3",0.0315445606117346,"PRC1",-0.116698054331699
"PC2","RND3",0.0307188112599814,"NDC80",-0.115456130661294
"PC2","DLX1",0.0286382329802491,"KIF23",-0.114788031512862
"PC2","ACTL6B",0.0266177020431203,"MELK",-0.114067745875542
"PC2","INA",0.0265474465471677,"CCNA2",-0.113828659302605
"PC2","SCG5",0.0262660934834824,"CCNB2",-0.113422379693212
"PC2","TAGLN3",0.0260939733335389,"CKAP2L",-0.112297635241178
"PC2","BEX2",0.0254631867732827,"CDCA8",-0.111938112361853
"PC2","MIR7-3HG",0.025425345167999,"BUB1",-0.111106002438207
"PC2","CHGB",0.0245423568685469,"UBE2T",-0.110866425412066
"PC2","NNAT",0.0240821700525102,"TROAP",-0.110818579706983
"PC2","DUSP26",0.0237765918803382,"DLGAP5",-0.110309162154208
"PC2","CD200",0.0235925632261069,"CCNB1",-0.10984661931308
"PC2","GPD1",0.0230895430109436,"CDKN3",-0.108840103924867
"PC2","NHLH1",0.0227322353225013,"CDCA5",-0.108721867387682
"PC2","KLRC2",0.0221324867489565,"MAD2L1",-0.108129155465616
"PC2","BEX4",0.0221237255235696,"TYMS",-0.107742045259454
"PC3","CHD5",0.151000163870154,"EGFR",-0.0789080437027387
"PC3","LOXL4",0.14958646616331,"HOPX",-0.0733183749233398
