"gene","logFC","AveExpr","t","pval","padj","B"
"FAM204A",-0.705314432700876,1.08505563214266,-6.2162886168583,9.54692825674879e-07,0.00964261842937612,5.45604085729277
"ITM2C",-2.07490783453526,3.58807198246255,-6.06102652815293,1.45283842559869e-06,0.00964261842937612,5.08825537661872
"SGPL1",-1.18900708937988,1.58405578951644,-6.04650312974622,1.51118445295529e-06,0.00964261842937612,5.05371568732886
"RGS3",-1.14869202256315,0.776157620178449,-5.82397333548659,2.7679688611075e-06,0.00964261842937612,4.5217769699702
"FBXO17",0.737535212243664,0.935187601415844,5.80664163381931,2.9019775603085e-06,0.00964261842937612,4.48014423321106
"ARL3",-0.870483301650442,1.30376632024852,-5.76294688735294,3.26960486696694e-06,0.00964261842937612,4.3750628600768
"XPNPEP1",-0.978483531873599,1.40839448160008,-5.71314855231898,3.74621897804249e-06,0.00964261842937612,4.25509681960129
"SEPT6",-1.11162275702513,0.643389732043847,-5.67567594968901,4.1505364132376e-06,0.00964261842937612,4.16468430991242
"MPST",-0.683307262465585,1.24957825346336,-5.62193879813462,4.80831040991088e-06,0.00968753136053498,4.03482867943654
"KLHDC8B",-0.782087552077221,0.708078262575737,-5.60069050297106,5.0965060483947e-06,0.00968753136053498,3.98341933193335
"TUSC3",-1.10115272022703,0.431099340743887,-5.52726260505226,6.23312547167374e-06,0.010025263114402,3.8055027382415
"ZNF37BP",-0.723342406713269,1.0342835853927,-5.46653407058456,7.36370635565349e-06,0.0109976954421685,3.65806832585172
"CACNB2",-0.904239747986742,0.630879427664268,-5.37309268606919,9.51927466372372e-06,0.0117877042047961,3.43075118955904
"METRN",-0.972535837230354,1.116146618609,-5.37291261459976,9.52398872833958e-06,0.0117877042047961,3.43031262077504
"LINC00839",-1.05610882604164,0.559396447059368,-5.37062965407168,9.58395769675902e-06,0.0117877042047961,3.42475225037833
"MORF4L1",-1.05331389146937,4.81216169852012,-5.32552383218911,1.08275118126315e-05,0.0125773580272396,3.31654730560086
"EXOSC1",-0.739298084113107,0.768032444620795,-5.26579228640026,1.27879342243263e-05,0.012838089719165,3.16910944089675
"PSAP",-1.27872048159888,5.42209150221937,-5.24589262807357,1.35079618260859e-05,0.012838089719165,3.12052308533686
"PDLIM4",-2.0602597973105,1.33295618224027,-5.1992622942922,1.53585197405008e-05,0.013962229967571,3.00660355005279
"DNAJB12",-0.6318301107919,0.842380226141964,-5.1523227149112,1.74781695391095e-05,0.0143694125369855,2.89183993738071
"TM9SF3",-0.680155027767111,0.838795353052609,-5.13672173098129,1.82456842748344e-05,0.0143694125369855,2.85367887918235
"CHCHD1",-0.689524730600148,0.868850038543394,-4.90281686158296,3.47587818547522e-05,0.0229492396160556,2.28077147378172
"MICU1",-0.787158889356472,1.25457105312168,-4.89699354399534,3.53209459370794e-05,0.0229492396160556,2.26649675730992
"PDPN",1.91768840186422,2.11410484240599,4.86611493017802,3.84571152573617e-05,0.0236499947916523,2.19080045978483
"C7orf13",-0.561644369116973,0.342997343901064,-4.82989776154397,4.2491389271932e-05,0.0240122286023467,2.10201330807836
"PLCB4",-0.717967316686057,0.347889486068277,-4.79795674800292,4.6398248801709e-05,0.0255300258998667,2.0237102030327
"ZNF708",0.848873664893621,1.69220620404513,4.7615085577427,5.129572892421e-05,0.0270914475726177,1.93436431803939
"CDC42",-0.934684669672799,3.85515845099611,-4.75083420256698,5.27782863272729e-05,0.0270914475726177,1.90891868755179
"ITGB1",-1.35506001541098,2.11373314372457,-4.74327424974907,5.39359008209847e-05,0.0270914475726177,1.88967077458885
"WSB2",-0.713315416264935,1.73756918457532,-4.71238090910311,5.87215884118622e-05,0.0271827136423187,1.81395860621076
"RPS4X",-1.3316342075564,7.11879652625683,-4.69197882973101,6.21116331860886e-05,0.0271827136423187,1.7639661601019
"INPP5F",-0.916988178722402,0.868978499894393,-4.68351105593335,6.35752393285926e-05,0.0271827136423187,1.74321928937302
"MYL12A",-1.86816786938218,2.24522139279697,-4.68278468779145,6.37023754590663e-05,0.0271827136423187,1.74143968185759
"MRPL43",-1.13258536453549,1.93442822444758,-4.67090915803577,6.58172077873048e-05,0.0275234399524951,1.71234607402549
"MPV17L",0.562469430342547,0.893560349945341,4.60635201528691,7.85967895971686e-05,0.0316034668016769,1.55424794841184
"AHR",-0.881895815672852,0.604634367167791,-4.59050747629451,8.20933457548681e-05,0.0323865993658215,1.51546316076619
"ECHS1",-0.940295483330327,2.05980851611094,-4.56032539480638,8.91872277154119e-05,0.0343904253315104,1.44160555235056
"SELM",-0.825707208488837,0.517964724302964,-4.49700326854124,0.0001061098459589,0.0361041495912354,1.28676570233977
"BCCIP",-1.02712283050058,1.95404476471205,-4.49280979595436,0.000107336940015815,0.0361041495912354,1.27651761881433
"BBIP1",-0.627415160334289,1.12983628819665,-4.48792584004017,0.000108783845437268,0.0361041495912354,1.26458315265644
"ASCC1",-0.635651785512522,1.04419494664182,-4.4674052010501,0.000115077710728448,0.0375962477128301,1.21445131115889
"MCAM",-1.06741223088207,1.28528436885658,-4.43769438465415,0.000124835471124193,0.0396161162739974,1.14190578715921
"COTL1",-1.65102554858523,2.36866034553834,-4.4315764922222,0.000126944367992626,0.0396161162739974,1.12697347238913
"THRAP3",-0.727710405050537,2.69964264685049,-4.41568376559907,0.000132421712100555,0.0401276170769639,1.08918741911832
"VPS26A",-0.737203876280296,1.61917144929456,-4.40647096121586,0.00013597464864446,0.0404176736171216,1.06571906274772
"GDI2",-1.38270234529806,2.94127329420837,-4.40307258533061,0.000137244957999696,0.0404176736171216,1.05743027124288
"FHL2",-0.619129895676386,0.286522373762026,-4.3879486762025,0.000143042364432915,0.0408652767875473,1.02055086644558
"PRDX3",-1.34183262842846,3.1645853983711,-4.38097422873148,0.000145796963834151,0.0408652767875473,1.00354856179503
"NDUFB8",-1.16266824742066,3.55415540060319,-4.37900894596368,0.000146582608401456,0.0408652767875473,0.998758151182748
"MAGED2",-1.45551151442607,4.1174272710684,-4.37301090874038,0.000149006412364912,0.0409944088965519,0.984139358698615
"GSTO1",-0.931308272374311,1.39357166729918,-4.34500350272657,0.000160859929191558,0.0436807825904712,0.915909280176263
"MGEA5",-0.915315587360328,1.64128269667524,-4.3301904608769,0.000167501836314336,0.044332859436664,0.879844246472617
"C9orf89",-0.613709114961646,0.866486788079918,-4.31201951806765,0.000176020944558865,0.0456312255586658,0.83562523256893
"SMC3",-1.00495017059271,1.91923795544957,-4.31045915770236,0.00017677216845626,0.0456312255586658,0.831829222899458
"YME1L1",-0.568793492461619,1.62353350313034,-4.28919431284667,0.000187331647379819,0.0469823103052254,0.780114920607786
"CTHRC1",-1.98311957255927,0.976120148032924,-4.28209470561668,0.000190994135345744,0.0469823103052254,0.762857045261429
"ALDH18A1",-0.849389887385452,1.29292823239809,-4.25583168143559,0.000205168216130043,0.0492766306152709,0.699051421655964
"SAR1A",-1.33716224540575,2.96865762087068,-4.25113691666714,0.000207809295746463,0.0492766306152709,0.687651531773937
"RBM17",-0.716933111543053,1.67734192574907,-4.2477281269603,0.000209747961392659,0.0492766306152709,0.679375424226465
