"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EGFR",0,5.94386250436842,0.808,0.347,0
"CTHRC1",0,-3.91354180946098,0.119,0.536,0
"TUSC3",0,-2.77065921922895,0.055,0.466,0
"RPS4X",0,-1.44760394188743,0.965,0.992,0
"RPS6",4.15687269078207e-285,-1.63508484667439,0.942,0.97,9.2261789371908e-281
"KHDRBS2",1.1226019166179e-269,-9.15905157922441,0.003,0.252,2.49161495393343e-265
"RPS24",1.16710862154328e-265,-1.49223990063088,0.95,0.987,2.59039758551532e-261
"IGF2",6.90050167717667e-252,-9.88373510309368,0.056,0.372,1.53156634724936e-247
"PDLIM4",6.19077602620441e-251,-2.20420597911075,0.214,0.631,1.37404273901607e-246
"PLCB4",8.83498111971084e-248,-2.64336735256902,0.091,0.453,1.96092405951982e-243
"PDPN",1.31580171240058e-227,3.1103860294351,0.668,0.25,2.92042190067308e-223
"SEC61G",3.05885590031123e-222,6.19555732938115,0.869,0.769,6.78913067074077e-218
"RPL7A",1.06870686245798e-212,-1.19803570821696,0.943,0.976,2.37199488122549e-208
"EEF1G",7.19363957948367e-210,-1.08521292342183,0.966,0.986,1.5966283046664e-205
"ITM2C",1.86459660019844e-208,-1.71624997902636,0.73,0.921,4.13847215414044e-204
"RANBP17",1.05689124116935e-204,-3.04317019002952,0.042,0.314,2.34577010977538e-200
"RTN1",3.26259261236793e-203,-5.11128987080753,0.102,0.405,7.24132430315061e-199
"RPS3",6.72219758330027e-197,-1.00666715314892,0.974,0.988,1.4919917536135e-192
"HEPN1",7.66205622379403e-196,2.04963616861173,0.741,0.324,1.70059337887108e-191
"CDR1",1.30679554985443e-195,-2.41376579393765,0.199,0.567,2.90043272290192e-191
"COL9A1",1.41935192184908e-194,-3.06024650210051,0.124,0.454,3.15025159054404e-190
"EGFR-AS1",5.29367307053087e-194,5.50220513625806,0.429,0.04,1.17493073800433e-189
"PCDH15",3.85639661084745e-193,-1.60596760410106,0.208,0.584,8.55927227777591e-189
"MYO1B",1.29538272321795e-191,-2.59083771096988,0.043,0.303,2.87510195418224e-187
"RPL13",2.90781986346443e-188,-1.00536062641581,0.986,0.994,6.45390618695929e-184
"RPL23",2.1483990310006e-186,-1.33567177202547,0.941,0.953,4.76837164930582e-182
"LRFN5",1.69143045410685e-185,-4.86173058576326,0.011,0.209,3.75412989289015e-181
"RPL10A",1.75354004716233e-183,-1.07728338180042,0.958,0.987,3.89198213467679e-179
"LRRC4C",2.59186093404498e-181,-1.66552492391712,0.323,0.716,5.75263534311283e-177
"ZNF618",2.524353863867e-178,-1.78797943176432,0.111,0.426,5.6028034008528e-174
"RPS14",1.0125535218755e-175,-0.976643595919283,0.975,0.985,2.24736254180268e-171
