"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","pct_diff","pct_ratio","is_artifact"
"EGFR",0,5.94386250436842,0.808,0.347,0,"EGFR",0.461,2.29131652661064,FALSE
"PDPN",1.31580171240058e-227,3.1103860294351,0.668,0.25,2.92042190067308e-223,"PDPN",0.418,2.60769230769231,FALSE
"HEPN1",7.66205622379403e-196,2.04963616861173,0.741,0.324,1.70059337887108e-191,"HEPN1",0.417,2.24850299401198,FALSE
"NRCAM",4.51987271115491e-142,1.32939797687857,0.854,0.488,1.00318574824083e-137,"NRCAM",0.366,1.73493975903614,FALSE
"ROBO2",2.53552795896131e-142,2.2928379488238,0.509,0.154,5.62760430491464e-138,"ROBO2",0.355,3.16463414634146,FALSE
"RAMP1",1.30428743995854e-154,2.93261401303607,0.55,0.208,2.89486597298797e-150,"RAMP1",0.342,2.56880733944954,FALSE
"HEPACAM",2.12234426493695e-130,2.24242575339621,0.52,0.18,4.71054309602757e-126,"HEPACAM",0.34,2.78947368421053,FALSE
"ZBTB16",5.64452868050343e-130,1.93398390195437,0.546,0.208,1.25280314063774e-125,"ZBTB16",0.338,2.55045871559633,FALSE
"ATP13A4",9.87471667779959e-113,2.72749782864998,0.519,0.231,2.19169336663762e-108,"ATP13A4",0.288,2.19502074688797,FALSE
"KLHL4",3.99137472305922e-115,2.65859837628898,0.515,0.228,8.85885619782994e-111,"KLHL4",0.287,2.20588235294118,FALSE
"NEAT1",9.11187735117409e-118,2.23415401094472,0.642,0.358,2.02238117809309e-113,"NEAT1",0.284,1.77173913043478,FALSE
"CD99",2.98280612821032e-98,1.41873184781203,0.71,0.428,6.6203382015628e-94,"CD99",0.282,1.64383561643836,FALSE
"ITPR2",1.57975508203125e-97,1.97112724756098,0.453,0.181,3.50626640456836e-93,"ITPR2",0.272,2.42408376963351,FALSE
"PDZD2",8.57703873510612e-107,3.48869968897314,0.467,0.196,1.9036737472568e-102,"PDZD2",0.271,2.31553398058252,FALSE
"PCDHB7",1.82381506786587e-83,1.81929105260935,0.462,0.207,4.04795754312829e-79,"PCDHB7",0.255,2.17511520737327,FALSE
"DPP6",1.58136616154974e-87,1.26219785251836,0.819,0.572,3.50984219555965e-83,"DPP6",0.247,1.42439862542955,FALSE
"NELL2",1.83904586759951e-77,2.17108284647303,0.44,0.201,4.0817623031371e-73,"NELL2",0.239,2.13270142180095,FALSE
"DGKG",2.39856799086066e-77,2.37823394872243,0.419,0.18,5.32362165571523e-73,"DGKG",0.239,2.25789473684211,FALSE
"MT3",3.23052722961048e-133,3.08219254047964,0.647,0.41,7.17015518612046e-129,"MT3",0.237,1.56428571428571,FALSE
