"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","pct_diff","pct_ratio","is_artifact"
"TUSC3",0,-2.77065921922895,0.055,0.466,0,"TUSC3",-0.411,0.136554621848739,FALSE
"PLCB4",8.83498111971084e-248,-2.64336735256902,0.091,0.453,1.96092405951982e-243,"PLCB4",-0.362,0.218142548596112,FALSE
"IGF2",6.90050167717667e-252,-9.88373510309368,0.056,0.372,1.53156634724936e-247,"IGF2",-0.316,0.172774869109948,FALSE
"NEFL",7.47831464183106e-173,-0.943778979348973,0.072,0.355,1.6598119347544e-168,"NEFL",-0.283,0.224657534246575,FALSE
"RANBP17",1.05689124116935e-204,-3.04317019002952,0.042,0.314,2.34577010977538e-200,"RANBP17",-0.272,0.160493827160494,FALSE
"MYO1B",1.29538272321795e-191,-2.59083771096988,0.043,0.303,2.87510195418224e-187,"MYO1B",-0.26,0.169329073482428,FALSE
"NEFM",6.70733850618818e-158,-2.86783793918218,0.065,0.318,1.48869378144847e-153,"NEFM",-0.253,0.228658536585366,FALSE
"KHDRBS2",1.1226019166179e-269,-9.15905157922441,0.003,0.252,2.49161495393343e-265,"KHDRBS2",-0.249,0.049618320610687,FALSE
"GRIN2B",2.90347940076568e-149,-1.81147989403476,0.071,0.32,6.44427252999943e-145,"GRIN2B",-0.249,0.245454545454545,FALSE
"CYP4F35P",7.37615203926288e-145,-1.95817273065343,0.074,0.315,1.6371369451144e-140,"CYP4F35P",-0.241,0.258461538461538,FALSE
"FBN2",2.50672362827529e-133,-2.20768463246842,0.08,0.319,5.563673092957e-129,"FBN2",-0.239,0.273556231003039,FALSE
"FAM107B",1.5008421885312e-109,-1.35541443584092,0.095,0.324,3.331119237445e-105,"FAM107B",-0.229,0.31437125748503,FALSE
"H19",2.06994182835214e-147,-3.4415629440856,0.056,0.281,4.59423588802759e-143,"H19",-0.225,0.22680412371134,FALSE
"NID2",1.20149745762741e-123,-2.81810453350242,0.086,0.311,2.66672360720403e-119,"NID2",-0.225,0.299065420560748,FALSE
"CFI",2.50028982892758e-136,-3.23813005327806,0.067,0.292,5.54939327530477e-132,"CFI",-0.225,0.254966887417219,FALSE
"TMEM246",8.16273476055278e-131,-2.12462555768292,0.064,0.288,1.81171898010469e-126,"TMEM246",-0.224,0.248322147651007,FALSE
"LOC389906",2.963679930184e-160,-3.16296973439666,0.04,0.263,6.57788760504338e-156,"LOC389906",-0.223,0.183150183150183,FALSE
"MN1",2.66290455963265e-104,-1.11310531833405,0.094,0.317,5.91031667010467e-100,"MN1",-0.223,0.318042813455657,FALSE
"DPP10",7.66460493384079e-141,-1.91344587091826,0.051,0.272,1.70115906506596e-136,"DPP10",-0.221,0.216312056737589,FALSE
"WNK2",1.1712879328021e-112,-1.60424759426736,0.081,0.302,2.59967356685427e-108,"WNK2",-0.221,0.291666666666667,FALSE
"C7orf13",2.55588263084719e-120,-1.65646021456824,0.063,0.275,5.67278149916534e-116,"C7orf13",-0.212,0.256140350877193,FALSE
"EFNA5",8.8534782856232e-106,-2.2568662235833,0.085,0.293,1.96502950549407e-101,"EFNA5",-0.208,0.313531353135314,FALSE
"MFAP2",1.22308801606944e-144,-3.14022358846484,0.038,0.245,2.71464385166611e-140,"MFAP2",-0.207,0.188235294117647,FALSE
"LRRC61",5.30033971377765e-96,-1.67003969226957,0.095,0.301,1.17641039947295e-91,"LRRC61",-0.206,0.337620578778135,FALSE
"SVIP",1.36895631267652e-92,-1.13563871070217,0.092,0.295,3.03839853598553e-88,"SVIP",-0.203,0.334426229508197,FALSE
