"gene","ensembl_gene_id","ensembl_peptide_id","UniProt_ID","length","mean_score","disordered_residues","disorder_percentage","mean_linker_score","linker_residues","linker_percentage","mean_redox_score","redox_residues","redox_percentage","mean_binding_score","binding_residues","binding_percentage"
"PLCB4","ENSG00000101333","ENSP00000367762","Q15147",1175,0.291207666098807,371,31.6013628620102,0.0937866269165247,49,4.17376490630324,0.301377768313458,378,32.1976149914821,0.233947529812606,221,18.824531516184
"MAGED2","ENSG00000102316","ENSP00000364193","Q9UNF1",606,0.619179173553719,377,62.3140495867769,0.0454228099173554,0,0,0.626381652892562,380,62.8099173553719,0.40324132231405,223,36.8595041322314
"RPS4X","ENSG00000198034","ENSP00000362744","P62701",263,0.178227480916031,32,12.2137404580153,0.0551790076335878,0,0,0.198250763358779,36,13.7404580152672,0.0778404580152672,4,1.52671755725191
"TM9SF3","ENSG00000077147","ENSP00000360184","Q9HD45",589,0.156943027210884,31,5.27210884353742,0.0749331632653061,0,0,0.153287414965986,34,5.78231292517007,0.0291909863945578,0,0
"MPST","ENSG00000128309","ENSP00000384812","P25325",297,0.192377027027027,24,8.10810810810811,0.0948445945945946,0,0,0.217141891891892,26,8.78378378378378,0.179555743243243,19,6.41891891891892
"ITGB1","ENSG00000150093","ENSP00000502882","P05556",798,0.299317942283563,137,17.189460476788,0.151311543287327,25,3.13676286072773,0.570390840652447,454,56.9636135508156,0.140574905897114,46,5.77164366373902
"MYL12A","ENSG00000101608","ENSP00000462171","P19105",171,0.219768235294118,20,11.7647058823529,0.0646911764705882,0,0,0.225414117647059,20,11.7647058823529,0.253865882352941,25,14.7058823529412
"ASCC1","ENSG00000138303","ENSP00000500935","Q8N9N2",400,0.265167919799499,83,20.8020050125313,0.0618669172932331,0,0,0.314513533834586,95,23.8095238095238,0.156394486215539,31,7.76942355889724
"ALDH18A1","ENSG00000059573","ENSP00000360268","P54886",795,0.157526952141058,70,8.81612090680101,0.0943465994962217,37,4.65994962216625,0.168671536523929,75,9.44584382871536,0.0485477329974811,0,0
"BCCIP","ENSG00000107949","ENSP00000278100","Q9P287",314,0.326938338658147,76,24.2811501597444,0.0999463258785943,8,2.55591054313099,0.351998722044728,81,25.8785942492013,0.229209584664537,54,17.2523961661342
"GDI2","ENSG00000057608","ENSP00000369528","P50395",445,0.0962445945945946,4,0.900900900900901,0.0489342342342342,0,0,0.110893018018018,6,1.35135135135135,0.0734385135135135,16,3.6036036036036
"PRDX3","ENSG00000165672","ENSP00000298510","P30048",256,0.260932549019608,46,18.0392156862745,0.107823137254902,11,4.31372549019608,0.339530588235294,81,31.7647058823529,0.0772564705882353,5,1.96078431372549
"RBM17","ENSG00000134453","ENSP00000369218","Q96I25",401,0.637385,279,69.75,0.0825875,14,3.5,0.66527275,296,74,0.5668525,248,62
