"","Gene","logFC","AveExpr","t","pval","padj","B","ensembl_gene_id","ensembl_peptide_id","UniProt_ID","length","mean_score","disordered_residues","disorder_percentage","Biological Process","Molecular Function","Cellular Component","KEGG","Reactome","STRING_ID","Nodes","Edges","Degree","Clustering_coefficient"
"1","FAM204A",-0.705314432700876,1.08505563214266,-6.2162886168583,9.54692825674879e-07,0.00964261842937612,5.45604085729277,"ENSG00000165669","ENSP00000358183","Q9H8W3",233,0.715212931034483,176,75.8620689655172,NA,NA,NA,NA,NA,"9606.ENSP00000358183",114,461,113,0.0549936788874842
"2","ITM2C",-2.07490783453526,3.58807198246255,-6.06102652815293,1.45283842559869e-06,0.00964261842937612,5.08825537661872,"ENSG00000135916","ENSP00000322730","Q9NQX7",267,0.368629323308271,79,29.6992481203008,"negative regulation of cell projection organization; glycoprotein biosynthetic process; negative regulation of amyloid precursor protein biosynthetic process; negative regulation of neuron projection development; negative regulation of glycoprotein biosynthetic process; amyloid precursor protein biosynthetic process; regulation of amyloid precursor protein biosynthetic process; negative regulation of glycoprotein metabolic process; glycoprotein metabolic process; regulation of neuron projection development; positive regulation of extrinsic apoptotic signaling pathway; regulation of glycoprotein biosynthetic process; regulation of glycoprotein metabolic process",NA,NA,NA,NA,"9606.ENSP00000322730",185,1233,184,0.0623069612734616
"3","SGPL1",-1.18900708937988,1.58405578951644,-6.04650312974622,1.51118445295529e-06,0.00964261842937612,5.05371568732886,"ENSG00000166224","ENSP00000513482","O95470",568,0.167903703703704,50,8.81834215167548,"fibroblast migration; lipid catabolic process; cellular lipid catabolic process; Leydig cell differentiation; luteinization; rhythmic process; kidney development; renal system development; multicellular organism growth; sphingolipid metabolic process; androgen metabolic process; face morphogenesis; sphingolipid catabolic process; head morphogenesis; membrane lipid catabolic process; estrogen metabolic process; membrane lipid metabolic process; body morphogenesis; ovulation cycle process; face development; hormone metabolic process; platelet-derived growth factor receptor signaling pathway; ameboidal-type cell migration; regulation of multicellular organism growth","lyase activity; carbon-carbon lyase activity; pyridoxal phosphate binding; vitamin B6 binding",NA,"Sphingolipid metabolism",NA,"9606.ENSP00000362298",617,22554,616,0.115816703621582
"4","RGS3",-1.14869202256315,0.776157620178449,-5.82397333548659,2.7679688611075e-06,0.00964261842937612,4.5217769699702,"ENSG00000138835","ENSP00000363255","P49796",1198,0.50970208855472,547,45.6975772765246,NA,"GTPase activity; GTPase activator activity",NA,"Axon guidance",NA,"9606.ENSP00000363255",352,7917,351,0.123174603174603
"5","ARL3",-0.870483301650442,1.30376632024852,-5.76294688735294,3.26960486696694e-06,0.00964261842937612,4.3750628600768,"ENSG00000138175","ENSP00000260746","P36405",182,0.116029281767956,2,1.10497237569061,"protein localization to ciliary membrane; protein localization to cilium; cytokinesis; mitotic cytokinesis; protein localization to cell periphery; cytoskeleton-dependent cytokinesis; vesicle-mediated transport to the plasma membrane; cilium assembly; cilium organization; small GTPase mediated signal transduction; kidney development; renal system development; transport along microtubule; cytoskeleton-dependent intracellular transport; microtubule-based transport; intraciliary transport; photoreceptor cell development; Golgi to plasma membrane transport; photoreceptor cell differentiation","GTPase activity; GTP binding; guanyl nucleotide binding; guanyl ribonucleotide binding; GDP binding","midbody; spindle; photoreceptor connecting cilium",NA,"Cargo trafficking to the periciliary membrane","9606.ENSP00000260746",626,26748,625,0.133964102564103
"6","XPNPEP1",-0.978483531873599,1.40839448160008,-5.71314855231898,3.74621897804249e-06,0.00964261842937612,4.25509681960129,"ENSG00000108039","ENSP00000421566","Q9NQW7",623,0.0904414790996785,0,0,"peptide catabolic process","metalloaminopeptidase activity; metallopeptidase activity; aminopeptidase activity; manganese ion binding; metalloexopeptidase activity",NA,NA,NA,"9606.ENSP00000421566",469,17904,468,0.159556360841157
"7","SEPTIN6",-1.11162275702513,0.643389732043847,-5.67567594968901,4.1505364132376e-06,0.00964261842937612,4.16468430991242,"ENSG00000125354","ENSP00000353278","Q14141",434,0.302226096997691,125,28.8683602771363,"cytokinesis; mitotic cytokinesis; cytoskeleton-dependent cytokinesis; cilium assembly; cilium organization","GTPase activity; GTP binding; guanyl nucleotide binding; guanyl ribonucleotide binding","midbody; spindle; cleavage furrow; cell division site; septin ring; septin complex; septin cytoskeleton; chromosome, centromeric region","Shigellosis; Bacterial invasion of epithelial cells",NA,"9606.ENSP00000341524",236,3322,235,0.11227495908347
"8","MPST",-0.683307262465585,1.24957825346336,-5.62193879813462,4.80831040991088e-06,0.00968753136053498,4.03482867943654,"ENSG00000128309","ENSP00000384812","P25325",297,0.192377027027027,24,8.10810810810811,"response to toxic substance; sulfur amino acid catabolic process; cysteine metabolic process; homocysteine metabolic process; amino acid metabolic process; kidney development; renal system development; sulfur amino acid metabolic process; sulfur compound catabolic process; serine family amino acid metabolic process; alpha-amino acid metabolic process; organic acid catabolic process; carboxylic acid catabolic process","sulfurtransferase activity; transferase activity, transferring sulphur-containing groups","mitochondrial matrix","Sulfur metabolism",NA,"9606.ENSP00000411719",284,11792,283,0.288424429240909
"9","KLHDC8B",-0.782087552077221,0.708078262575737,-5.60069050297106,5.0965060483947e-06,0.00968753136053498,3.98341933193335,"ENSG00000185909","ENSP00000327468","Q8IXV7",354,0.0911127478753541,0,0,"cytokinesis; mitotic cytokinesis; cytoskeleton-dependent cytokinesis; mitotic nuclear division; nuclear chromosome segregation; chromosome segregation; nuclear division; organelle fission; mitotic cytokinetic process; cytokinetic process",NA,"midbody",NA,NA,"9606.ENSP00000327468",152,1019,151,0.076644591611479
"10","TUSC3",-1.10115272022703,0.431099340743887,-5.52726260505226,6.23312547167374e-06,0.010025263114402,3.8055027382415,"ENSG00000104723","ENSP00000371450","Q13454",348,0.266934870317003,60,17.2910662824208,"magnesium ion transmembrane transport; glycoprotein biosynthetic process; magnesium ion transport; protein N-linked glycosylation via asparagine; glycoprotein metabolic process; protein glycosylation; macromolecule glycosylation; glycosylation","magnesium ion transmembrane transporter activity","oligosaccharyltransferase complex","Protein processing in endoplasmic reticulum",NA,"9606.ENSP00000424544",278,4744,277,0.116857636163868
