gene;ensembl_gene_id;ensembl_peptide_id;UniProt_ID;length;IDR_percentage 
RHOU;ENSG00000284984;ENSP00000494673;Q7L0Q8;258;29,90%
NLGN4Y;ENSG00000165246;ENSP00000372325;Q8NFZ3;816;30,10%
DDX3Y;ENSG00000067048;ENSP00000353284;O15523;660;33,60%
DSCAM;ENSG00000291561;ENSP00000517071;O60469;2012;22,10%
PCDHB7;ENSG00000291681;ENSP00000517191;Q9Y5E2;793;19,70%
PCDHB8;ENSG00000291682;ENSP00000517192;Q9UN66;801;20,20%
PCDHB16;ENSG00000291684;ENSP00000517193;Q9NRJ7;776;17,90%
PCDHB11;ENSG00000291690;ENSP00000517198;Q9Y5F2;797;20,20%
PCDHB12;ENSG00000291691;ENSP00000517200;Q9Y5F1;795;20,10%
PCDHB13;ENSG00000291692;ENSP00000517203;Q9Y5F0;798;19,50%
PCDHB14;ENSG00000291693;ENSP00000517204;Q9Y5E9;798;20,40%
BCAP29;ENSG00000283852;ENSP00000490977;Q9UHQ4;241;14,50%
KCTD12;ENSG00000178695;ENSP00000366694;Q96CX2;325;34,80%
OLIG1;ENSG00000184221;ENSP00000371785;Q8TAK6;271;80,80%
FBXO17;ENSG00000282954;ENSP00000488997;Q96EF6;278;7,20%
SCG5;ENSG00000281931;ENSP00000488109;P05408;212;100%
MAPT;ENSG00000276155;ENSP00000486039;P10636;758;95,10%
LAMA5;ENSG00000130702;ENSP00000252999;O15230;3695;3,70%
FRY;ENSG00000073910;ENSP00000445043;Q5TBA9;3013;6%
NEU4;ENSG00000277926;ENSP00000486602;Q8WWR8;484;21,70%
OSBPL1A;ENSG00000141447;ENSP00000382372;Q9BXW6;950;43,40%
HSPA1B;ENSG00000204388;ENSP00000364801;P0DMV9;641;12,20%
TRIL;ENSG00000255690;ENSP00000479256;Q7L0X0;811;38,50%
DTNA;ENSG00000134769;ENSP00000469121;Q9Y4J8;743;56,50%
TENM4;ENSG00000149256;ENSP00000278550;Q6N022;2769;7,10%
HLA-G;ENSG00000276051;ENSP00000479399;P17693;338;16,90%
LSS;ENSG00000160285;ENSP00000348762;P48449;732;0%
TAP1;ENSG00000227816;ENSP00000401149;Q03518;748;23,10%
PSMB8;ENSG00000230669;ENSP00000406797;P28062;276;38,10%
COL4A2;ENSG00000134871;ENSP00000383027;P08572;1712;88,30%
