"","Gene","logFC","AveExpr","t","pval","padj","B","ensembl_gene_id","ensembl_peptide_id","UniProt_ID","length","mean_score","disordered_residues","disorder_percentage","Biological Process","Molecular Function","Cellular Component","Reactome","STRING_ID","Nodes","Edges","Degree","Clustering_coefficient","KEGG"
"1","FBXO17",0.737535212243664,0.935187601415844,5.80664163381931,2.9019775603085e-06,0.00964261842937612,4.48014423321106,"ENSG00000282954","ENSP00000488997","Q96EF6",278,0.150625992779783,19,6.85920577617329,"glycoprotein catabolic process; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; ubiquitin-dependent ERAD pathway; ERAD pathway; carbohydrate derivative catabolic process; response to endoplasmic reticulum stress; glycoprotein metabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process","ubiquitin protein ligase activity; ubiquitin-like protein ligase activity; ubiquitin-protein transferase activity; ubiquitin-like protein transferase activity; aminoacyltransferase activity","SCF ubiquitin ligase complex; cullin-RING ubiquitin ligase complex; ubiquitin ligase complex",NA,"9606.ENSP00000292852",134,1406,133,0.145021645021645,NA
"2","PDPN",1.91768840186422,2.11410484240599,4.86611493017802,3.84571152573617e-05,0.0236499947916523,2.19080045978483,"ENSG00000162493","ENSP00000294489","Q86YL7",162,0.879625465838509,161,100,"positive regulation of platelet aggregation; regulation of lamellipodium morphogenesis; epithelial cell fate commitment; regulation of extracellular matrix disassembly; positive regulation of homotypic cell-cell adhesion; lymphangiogenesis; lymph node development; lamellipodium morphogenesis; response to hyperoxia; lymph vessel morphogenesis; response to increased oxygen levels; regulation of platelet aggregation; positive regulation of extracellular matrix organization; lymph vessel development; regulation of homotypic cell-cell adhesion; wound healing, spreading of cells; epiboly involved in wound healing; epiboly; regulation of actin filament-based movement; regulation of platelet activation; regulation of lamellipodium organization; positive regulation of epithelial to mesenchymal transition; morphogenesis of an epithelial sheet; regulation of substrate adhesion-dependent cell spreading; extracellular matrix disassembly; regulation of extracellular matrix organization; platelet aggregation; lamellipodium organization; homotypic cell-cell adhesion; hematopoietic or lymphoid organ development; substrate adhesion-dependent cell spreading; actin-mediated cell contraction; regulation of epithelial to mesenchymal transition; endothelial cell differentiation; actin filament-based movement; platelet activation; Rho protein signal transduction; regulation of cell shape; endothelium development; epithelial to mesenchymal transition; lung development; respiratory tube development; immune system development; respiratory system development; regulation of cell-substrate adhesion; blood coagulation; coagulation; hemostasis; regulation of cell morphogenesis; mesenchymal cell differentiation; cell fate commitment; extracellular matrix organization; positive regulation of cell-cell adhesion; extracellular structure organization; external encapsulating structure organization; mesenchyme development; Ras protein signal transduction; response to oxygen levels; cell-substrate adhesion; regulation of body fluid levels; regulation of actin filament-based process; wound healing; positive regulation of cell adhesion; small GTPase mediated signal transduction; regulation of cell-cell adhesion; cellular component disassembly","chemokine binding; protein-folding chaperone binding; cytokine binding","tetraspanin-enriched microdomain; filopodium membrane; lamellipodium membrane; microvillus membrane; microvillus; ruffle membrane; filopodium; leading edge membrane; ruffle; lamellipodium; actin-based cell projection; basolateral plasma membrane; basal plasma membrane; membrane raft; membrane microdomain; basal part of cell; cell projection membrane; apical plasma membrane; cell leading edge; apical part of cell","Specification of primordial germ cells; GPVI-mediated activation cascade","9606.ENSP00000294489",645,77983,644,0.373535349632449,NA
"3","ZNF708",0.848873664893621,1.69220620404513,4.7615085577427,5.129572892421e-05,0.0270914475726177,1.93436431803939,"ENSG00000182141","ENSP00000349401","P17019",563,0.238722953736655,10,1.77935943060498,NA,NA,NA,NA,"9606.ENSP00000349401",154,1140,153,0.0848813209494324,NA
"4","MPV17L",0.562469430342547,0.893560349945341,4.60635201528691,7.85967895971686e-05,0.0316034668016769,1.55424794841184,"ENSG00000275543","ENSP00000483043","Q2QL34",196,0.217826666666667,24,12.3076923076923,"negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway; hydrogen peroxide biosynthetic process; regulation of hydrogen peroxide metabolic process; negative regulation of reactive oxygen species biosynthetic process; negative regulation of mitochondrial membrane permeability; negative regulation of membrane permeability; regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway; mitochondrial outer membrane permeabilization; positive regulation of mitochondrial membrane permeability involved in apoptotic process; regulation of reactive oxygen species biosynthetic process; mitochondrial outer membrane permeabilization involved in programmed cell death; positive regulation of mitochondrial membrane permeability; regulation of mitochondrial membrane permeability involved in apoptotic process; negative regulation of reactive oxygen species metabolic process; positive regulation of membrane permeability; negative regulation of mitochondrion organization; hydrogen peroxide metabolic process; reactive oxygen species biosynthetic process; regulation of mitochondrial membrane permeability; regulation of membrane permeability; apoptotic mitochondrial changes; mitochondrial membrane organization; regulation of reactive oxygen species metabolic process; regulation of mitochondrion organization; cellular response to reactive oxygen species; mitochondrial transport; response to reactive oxygen species; reactive oxygen species metabolic process; negative regulation of apoptotic signaling pathway; cellular response to oxidative stress; cellular response to chemical stress; negative regulation of organelle organization; regulation of apoptotic signaling pathway; response to oxidative stress",NA,"peroxisomal membrane; microbody membrane; peroxisome; microbody",NA,"9606.ENSP00000379669",95,413,94,0.0729810112102494,"Peroxisome"
