gene;ensembl_gene_id;ensembl_peptide_id;UniProt_ID;length;IDR_percentage
BEX5;ENSG00000291824;ENSP00000517394;Q5H9J7;111;86,50%
PHLDA2;ENSG00000274538;ENSP00000483602;Q53GA4;152;27,60%
DOK6;ENSG00000206052;ENSP00000372160;Q6PKX4;331;27,20%
MN1;ENSG00000169184;ENSP00000304956;Q10571;1320;100%
PMAIP1;ENSG00000141682;ENSP00000326119;Q13794;54;53,70%
TSPYL5;ENSG00000180543;ENSP00000322802;Q86VY4;417;65,70%
NDN;ENSG00000182636;ENSP00000497916;Q99608;321;36,10%
B4GALT6;ENSG00000118276;ENSP00000306459;Q9UBX8;382;14,70%
SYT4;ENSG00000132872;ENSP00000255224;Q9H2B2;425;35,30%
SLITRK5;ENSG00000165300;ENSP00000508338;O94991;958;46,20%
ZNF469;ENSG00000225614;ENSP00000456500;Q96JG9;3953;74,20%
PRAME;ENSG00000275013;ENSP00000484066;P78395;509;12%
CRYBB2;ENSG00000244752;ENSP00000498905;P43320;205;10,30%
PLCB4;ENSG00000101333;ENSP00000367762;Q15147;1175;14,10%
SDK1;ENSG00000146555;ENSP00000385899;Q7Z5N4;2213;12,10%
CCDC71L;ENSG00000253276;ENSP00000430897;Q8N9Z2;235;80%
COL6A2;ENSG00000142173;ENSP00000380870;P12110;1019;37,50%
TRPC4;ENSG00000133107;ENSP00000369027;Q9UBN4;977;28,40%
IER3;ENSG00000237155;ENSP00000397956;P46695;156;100%
NEFL;ENSG00000277586;ENSP00000482169;P07196;543;51,20%
EPB41L3;ENSG00000082397;ENSP00000343158;Q9Y2J2;1087;60,20%
ST8SIA3;ENSG00000177511;ENSP00000320431;O43173;380;23,20%
CPAMD8;ENSG00000160111;ENSP00000498697;Q8IZJ3;1885;19%
SFRP1;ENSG00000104332;ENSP00000220772;Q8N474;314;25,20%
SLCO4A1;ENSG00000101187;ENSP00000217159;Q96BD0;722;17,60%
ME1;ENSG00000065833;ENSP00000358719;P48163;572;4%
IFITM2;ENSG00000185201;ENSP00000484689;Q01629;132;43,20%
NEFH;ENSG00000100285;ENSP00000311997;P12036;1020;73,10%
FZD6;ENSG00000164930;ENSP00000429055;O60353;706;50,40%
IGF2;ENSG00000167244;ENSP00000370802;P01344;180;74,50%
FRAS1;ENSG00000138759;ENSP00000423809;Q86XX4;4008;0%
MAP7D2;ENSG00000184368;ENSP00000368972;Q96T17;732;91,50%
NR0B1;ENSG00000169297;ENSP00000368253;P51843;470;49,80%
NFATC2;ENSG00000101096;ENSP00000360619;Q13469;925;68,90%
PTPRM;ENSG00000173482;ENSP00000463325;P28827;1452;19,90%
GRM5;ENSG00000168959;ENSP00000305905;P41594;1212;34%
GALNT16;ENSG00000100626;ENSP00000336729;Q8N428;558;11,80%
EXT1;ENSG00000182197;ENSP00000367446;Q16394;746;13,50%
GP1BB;ENSG00000203618;ENSP00000383382;P13224;206;34%
ITPKA;ENSG00000137825;ENSP00000260386;P23677;461;39,50%
CTXN1;ENSG00000178531;ENSP00000313226;P60606;82;90,20%
CACNG5;ENSG00000075429;ENSP00000436836;Q9UF02;275;24,70%
ENHO;ENSG00000168913;ENSP00000382675;Q6UWT2;76;100%
VLDLR;ENSG00000147852;ENSP00000371532;P98155;873;78,70%
MMP15;ENSG00000102996;ENSP00000219271;P51511;669;32,60%
AFF2;ENSG00000155966;ENSP00000359489;P51816;1311;81,90%
EEF1A2;ENSG00000101210;ENSP00000217182;Q05639;463;8,20%
CHRNA4;ENSG00000101204;ENSP00000359285;P43681;627;37%
TUSC3;ENSG00000104723;ENSP00000371450;Q13454;348;21,60%
ZCCHC12;ENSG00000174460;ENSP00000308921;Q6PEW1;402;42,30%
NYNRIN;ENSG00000205978;ENSP00000371994;Q9P2P1;1898;38,50%
ADAMTS3;ENSG00000156140;ENSP00000286657;O15072;1205;20,40%
HEY2;ENSG00000135547;ENSP00000357348;Q9UBP5;337;65,30%
CPNE8;ENSG00000139117;ENSP00000329748;Q86YQ8;564;6,40%
SNAP91;ENSG00000065609;ENSP00000358708;O60641;907;69%
DOCK5;ENSG00000147459;ENSP00000429737;Q9H7D0;1870;12,40%
NEFM;ENSG00000104722;ENSP00000221166;P07197;916;71,70%
IRX2;ENSG00000170561;ENSP00000372056;Q9BZI1;471;87,50%
KHDRBS2;ENSG00000112232;ENSP00000520654;Q5VWX1;349;51%
FUOM;ENSG00000148803;ENSP00000357540;A2VDF0;154;0%
EFNA5;ENSG00000184349;ENSP00000328777;P52803;228;35,10%
LRRC61;ENSG00000127399;ENSP00000339047;Q9BV99;259;34%
SLC7A3;ENSG00000165349;ENSP00000363417;Q8WY07;619;3,20%
GFRA2;ENSG00000168546;ENSP00000428518;O00451;464;32,90%
COL5A1;ENSG00000130635;ENSP00000360882;P20908;1838;74,50%
VSTM2B;ENSG00000187135;ENSP00000335038;A6NLU5;285;55,80%
NPY;ENSG00000122585;ENSP00000384364;P01303;97;70,10%
IPMK;ENSG00000151151;ENSP00000363046;Q8NFU5;416;40,60%
NHS;ENSG00000188158;ENSP00000502262;Q6T4R5;1651;96,50%
FAM107B;ENSG00000065809;ENSP00000367731;Q9H098;131;94,70%
ANGPT1;ENSG00000154188;ENSP00000428340;Q15389;498;34,10%
MACROD1;ENSG00000133315;ENSP00000255681;Q9BQ69;325;27,10%
ANKRD18A;ENSG00000180071;ENSP00000382610;Q8IVF6;992;46,20%
COCH;ENSG00000100473;ENSP00000379862;O43405;550;10,40%
GATA2;ENSG00000179348;ENSP00000417074;P23769;480;79%
KLRK1;ENSG00000213809;ENSP00000240618;P26718;216;40,70%
SGCD;ENSG00000170624;ENSP00000429378;Q92629;289;61,90%
KLRC4;ENSG00000183542;ENSP00000520686;O43908;158;87,30%
LRFN5;ENSG00000165379;ENSP00000298119;Q96NI6;719;50,10%
GRIN2B;ENSG00000273079;ENSP00000477455;Q13224;1484;48,60%
MMP17;ENSG00000198598;ENSP00000353767;Q9ULZ9;603;26,70%
OTX2;ENSG00000165588;ENSP00000343819;P32243;289;83,40%
IGFBP4;ENSG00000141753;ENSP00000269593;P22692;258;32,20%
WNK2;ENSG00000165238;ENSP00000297954;Q9Y3S1;2297;79,50%
FREM1;ENSG00000164946;ENSP00000370278;Q5H8C1;2179;10,80%
ZNF423;ENSG00000102935;ENSP00000455426;Q2M1K9;1284;41,70%
RIMS2;ENSG00000176406;ENSP00000427018;Q9UQ26;1411;61,20%
CFI;ENSG00000205403;ENSP00000378130;P05156;583;6,90%
ZNF560;ENSG00000198028;ENSP00000301480;Q96MR9;790;23,40%
SEMA3A;ENSG00000075213;ENSP00000265362;Q14563;771;14,80%
ST8SIA2;ENSG00000140557;ENSP00000268164;Q92186;375;21,90%
HMGA2;ENSG00000149948;ENSP00000437747;P52926;109;100%
RANBP17;ENSG00000204764;ENSP00000427975;Q9H2T7;1088;1,30%
STC1;ENSG00000159167;ENSP00000290271;P52823;247;36%
LEMD1;ENSG00000186007;ENSP00000356120;Q68G75;181;76,20%
GCK;ENSG00000106633;ENSP00000223366;P35557;465;0%
EDIL3;ENSG00000164176;ENSP00000296591;O43854;480;5,20%
FBN2;ENSG00000138829;ENSP00000262464;P35556;2912;0,90%
NID2;ENSG00000087303;ENSP00000216286;Q14112;1375;20,60%
KCNIP2;ENSG00000120049;ENSP00000239118;Q9NS61;270;33,40%
DMRT2;ENSG00000173253;ENSP00000489226;Q9Y5R5;561;88,80%
RBMS3;ENSG00000144642;ENSP00000373277;Q6XE24;437;62,90%
STEAP1B;ENSG00000105889;ENSP00000385239;Q6NZ63;245;21,20%
COL1A1;ENSG00000108821;ENSP00000225964;P02452;1464;78,60%
NPM3;ENSG00000107833;ENSP00000359128;O75607;178;39,30%
SEMA4G;ENSG00000095539;ENSP00000210633;Q9NTN9;838;22,20%
MYH14;ENSG00000105357;ENSP00000472543;Q7Z406;1995;19,90%
LGI4;ENSG00000153902;ENSP00000312273;Q8N135;537;5,20%
NGFR;ENSG00000064300;ENSP00000172229;P08138;427;21,50%
HGF;ENSG00000019991;ENSP00000222390;P14210;728;9,70%
C14orf39;ENSG00000179008;ENSP00000324920;Q8N1H7;587;68%
PLXDC2;ENSG00000120594;ENSP00000366450;Q6UX71;529;42%
SORCS1;ENSG00000108018;ENSP00000263054;Q8WY21;1168;18,20%
LOXL4;ENSG00000138131;ENSP00000260702;Q96JB6;756;6,20%
KLF11;ENSG00000172059;ENSP00000307023;O14901;512;74,20%
DAB2;ENSG00000153071;ENSP00000439919;P98082;770;79,60%
CNTN3;ENSG00000113805;ENSP00000263665;Q9P232;1028;8,40%
DNAH6;ENSG00000115423;ENSP00000374045;Q9C0G6;4158;4,30%
ANO5;ENSG00000171714;ENSP00000315371;Q75V66;913;7,70%
TWIST1;ENSG00000122691;ENSP00000242261;Q15672;202;47%
TMEM132C;ENSG00000181234;ENSP00000410852;Q8N3T6;1108;36,40%
IGSF9;ENSG00000085552;ENSP00000355049;Q9P2J2;1179;42,20%
SVIP;ENSG00000198168;ENSP00000346130;Q8NHG7;77;100%
FOLH1;ENSG00000086205;ENSP00000256999;Q04609;750;7,20%
STAT6;ENSG00000166888;ENSP00000300134;P42226;847;34,60%
MYO1B;ENSG00000128641;ENSP00000341903;O43795;1136;4%
DAB1;ENSG00000173406;ENSP00000360280;O75553;588;74%
TGFA;ENSG00000163235;ENSP00000295400;P01135;160;36,90%
FHL2;ENSG00000115641;ENSP00000386892;Q14192;279;0%
DPP10;ENSG00000175497;ENSP00000386565;Q8N608;796;8,50%
EPHA2;ENSG00000142627;ENSP00000351209;P29317;976;7,40%
MFAP2;ENSG00000117122;ENSP00000364684;P55001;183;56,30%
KCNH1;ENSG00000143473;ENSP00000492513;O95259;989;35,90%
ARHGAP29;ENSG00000137962;ENSP00000260526;Q52LW3;1261;46,80%
NKAIN1;ENSG00000084628;ENSP00000362841;Q4KMZ8;207;16,40%
HENMT1;ENSG00000162639;ENSP00000499017;Q5T8I9;393;15,30%
DNAH14;ENSG00000185842;ENSP00000409472;Q0VDD8;3507;1%
ZNF695;ENSG00000197472;ENSP00000355460;Q8IW36;515;20%
NEGR1;ENSG00000172260;ENSP00000350364;Q7Z3B1;354;24,60%
SLITRK2;ENSG00000185985;ENSP00000334374;Q9H156;845;41,80%
SHISAL1;ENSG00000138944;ENSP00000370568;Q3SXP7;199;52,30%
RIOX1;ENSG00000170468;ENSP00000477507;Q9H6W3;641;28,10%
SELENOM;ENSG00000198832;ENSP00000384564;Q8WWX9;145;17,20%
ADGRA2;ENSG00000020181;ENSP00000406367;Q96PE1;1338;33%
ADGRD1;ENSG00000111452;ENSP00000261654;Q6QNK2;874;16%
PGAP4;ENSG00000165152;ENSP00000363981;Q9BRR3;403;4%
PLPP4;ENSG00000203805;ENSP00000381302;Q5VZY2;271;10,30%
ECRG4;ENSG00000119147;ENSP00000238044;Q9H1Z8;148;78,40%
